1 2 3 4:8
2 3 7 13:7
2 3 5 13:8
2 3 8 16:8
1 2 4 5:8
2 3 5 9:8
1 3 5 14:7
1 2 3 6:8
1 3 5 6:9
1 2 5 15:7
1 2 5 7:9
3 4 5 9:7
1 3 4 8:8
1 4 5 15:7
1 4 5 7:8
1 3 5 16:7
1 3 5 8:8
2 3 4 7:8
3 4 8 14:7
3 4 6 8:8
2 4 8 15:7
2 4 7 8:8
2 3 8 12:7
2 3 5 14:8
1 4 5 14:7
3 4 5 10:7
4 5 14 15:7
4 5 7 14:8
3 5 14 16:7
3 4 5 15:8
3 5 8 14:8
3 4 6 10:8
2 4 6 15:7
2 4 6 7:9
2 3 6 16:7
2 3 6 8:9
2 3 5 6:9
1 4 5 6:9
3 4 5 8:9
3 4 6 7:9
4 5 6 15:8
4 5 6 7:9
3 5 6 16:8
3 5 6 8:9
1 3 5 15:6
2 4 5 11:7
2 4 5 14:7
2 5 15 16:7
2 4 5 16:8
2 5 8 15:8
1 3 5 7:7
2 4 6 8:7
2 5 7 16:8
2 5 7 8:9
1 2 5 16:7
3 4 5 16:8
2 3 5 15:7
2 3 5 12:7
1 2 5 8:9
2 3 7 8:9
2 4 13 14:6
1 4 10 14:6
1 2 14 16:6
1 2 8 14:7
1 2 4 10:7
1 4 10 15:5
1 3 4 11:7
1 4 7 10:7
1 3 10 16:5
1 3 8 10:7
1 2 14 15:6
1 4 11 14:5
1 14 15 16:5
1 4 15 16:6
1 8 14 15:7
3 4 7 14:7
1 2 7 14:8
1 4 6 14:8
1 4 8 14:7
1 7 14 16:7
1 4 7 15:8
1 7 8 14:8
1 3 12 14:5
3 4 13 15:6
1 4 11 15:6
1 3 15 16:6
1 3 8 15:8
2 4 8 14:6
1 3 7 14:7
2 4 5 6:8
1 4 6 10:7
1 2 6 16:7
1 2 6 8:8
3 4 5 7:9
1 4 7 11:8
1 3 7 16:7
1 3 7 8:9
3 4 6 15:8
1 2 6 15:7
1 4 6 11:7
1 6 15 16:7
1 4 6 16:8
1 6 8 15:8
1 2 6 7:9
1 4 7 8:9
1 6 7 16:8
1 6 7 8:9
2 4 6 16:6
1 3 6 15:7
1 3 6 12:7
2 3 13 15:6
1 3 14 15:6
1 2 11 15:6
1 2 3 11:7
1 2 4 12:7
1 2 11 16:5
1 2 8 11:7
1 2 12 15:5
2 4 13 16:6
1 4 14 16:6
1 2 12 16:6
1 4 8 15:7
2 3 8 15:8
1 2 7 15:8
1 2 8 16:8
2 3 5 7:8
1 3 6 7:8
1 2 7 11:7
2 4 5 8:9
1 4 6 8:9
1 2 8 12:8
1 4 7 16:8
2 3 7 16:7
1 2 7 12:7
2 4 9 13:6
1 2 9 13:6
3 9 13 14:5
3 6 9 13:7
2 9 13 15:5
2 3 10 13:6
2 7 9 13:7
2 3 9 14:5
1 3 10 13:5
1 13 14 15:5
1 7 13 14:7
1 3 5 13:7
1 6 13 15:7
1 6 7 13:9
1 3 6 14:8
1 2 11 13:5
1 2 6 13:7
1 3 10 14:6
1 2 4 9:7
1 3 9 14:6
1 3 6 9:7
1 2 9 15:6
1 2 3 10:7
1 2 7 9:8
1 3 4 12:7
1 4 9 15:6
1 4 7 9:7
1 3 9 16:6
1 3 8 9:7
1 4 9 14:6
3 4 9 10:4
3 4 12 14:6
4 9 14 15:4
4 7 9 14:6
3 9 14 16:4
3 4 9 15:5
3 8 9 14:6
2 3 6 9:6
1 4 6 9:8
3 4 7 9:6
3 4 6 12:7
4 6 9 15:6
4 6 7 9:8
3 6 9 16:6
3 6 8 9:8
2 3 4 11:7
2 4 12 15:6
2 4 7 12:7
1 3 9 15:5
2 4 9 11:4
2 4 10 15:6
2 4 9 14:5
2 9 15 16:4
2 4 9 16:5
2 8 9 15:6
2 4 7 10:7
2 3 10 16:6
2 3 8 10:8
1 3 7 9:6
2 4 6 9:6
2 4 8 9:6
2 7 9 16:6
2 7 8 9:8
1 2 9 16:6
3 4 9 16:5
2 3 9 15:5
2 3 9 12:4
1 2 8 9:7
3 4 8 9:6
2 3 7 9:6
1 4 9 13:6
3 4 12 13:6
4 9 13 15:5
4 7 9 13:6
3 9 13 16:5
3 8 9 13:6
1 4 11 13:5
1 13 15 16:5
1 8 13 15:7
1 4 8 13:7
1 7 13 16:7
1 7 8 13:8
1 3 12 16:6
1 3 12 13:5
1 3 8 16:8
1 2 13 14:6
3 10 13 14:5
2 13 14 15:5
2 7 13 14:7
2 3 14 15:6
4 9 13 14:5
1 4 10 13:5
1 4 13 16:6
1 13 14 16:5
1 8 13 14:7
4 10 13 15:4
3 4 11 13:6
4 7 10 13:6
3 4 10 16:5
3 10 13 16:4
3 8 10 13:6
3 13 14 15:5
4 11 13 14:4
4 13 14 16:5
13 14 15 16:4
4 14 15 16:5
8 13 14 15:6
3 7 13 14:6
4 6 13 14:7
4 8 13 14:6
4 7 13 16:7
7 13 14 16:6
4 7 14 15:7
7 8 13 14:8
4 13 15 16:5
3 4 15 16:6
3 12 13 16:5
2 13 14 16:5
3 13 15 16:5
3 12 13 14:4
3 4 10 15:5
4 11 14 15:5
3 14 15 16:5
3 8 14 15:7
2 8 13 14:7
3 5 13 14:7
3 8 13 16:7
3 6 10 13:7
2 6 13 15:6
2 6 7 13:8
2 3 6 14:7
4 6 9 13:7
1 4 5 13:7
1 6 13 16:7
1 6 8 13:9
4 5 13 15:7
4 5 7 13:8
3 5 13 16:7
3 5 8 13:8
4 7 11 13:7
3 4 7 16:7
3 7 13 16:6
3 7 8 13:8
3 6 13 15:7
4 7 13 15:7
4 6 11 13:6
4 6 14 16:6
6 13 15 16:6
6 8 13 15:8
3 6 7 13:8
4 5 6 13:9
4 7 8 13:8
4 6 7 16:8
6 7 13 16:8
4 6 7 14:8
6 7 8 13:9
4 6 15 16:7
3 6 12 16:6
2 6 13 16:6
4 6 13 16:7
3 6 15 16:7
3 6 12 13:6
3 6 13 14:7
4 6 14 15:7
3 6 14 16:7
3 6 8 14:9
2 6 8 13:8
4 6 8 13:8
3 5 7 13:7
3 6 8 16:8
3 9 13 15:4
1 11 13 15:4
1 3 11 13:5
2 4 10 13:6
2 4 12 13:6
2 4 11 16:5
2 11 13 16:4
2 4 11 14:5
2 8 11 13:6
4 10 14 16:4
2 12 14 16:4
2 14 15 16:5
2 12 13 15:4
3 8 13 15:7
2 7 13 15:7
2 5 13 15:7
2 8 14 16:6
3 7 9 13:5
1 7 11 13:6
2 4 5 13:8
4 6 10 13:7
2 4 6 14:7
2 4 8 16:7
2 8 12 13:7
4 7 14 16:7
2 4 7 15:8
2 7 12 16:6
2 8 13 16:7
2 7 15 16:7
2 7 12 13:6
4 7 10 14:7
2 7 14 16:7
2 7 8 14:9
2 5 8 13:8
2 7 8 16:8
3 12 14 16:5
2 12 15 16:5
2 4 11 15:6
3 4 12 16:6
2 3 11 16:6
2 3 12 15:5
2 9 13 16:5
1 2 12 13:5
2 11 15 16:5
2 3 11 13:6
2 3 12 14:5
2 3 10 14:6
4 10 14 15:5
3 4 11 14:6
3 10 14 16:5
3 8 10 14:7
2 8 14 15:7
2 3 7 14:7
2 8 9 13:7
1 2 5 13:7
4 8 13 15:6
3 4 8 16:7
3 8 12 13:6
2 7 11 13:6
3 5 6 13:8
2 5 7 13:9
3 8 14 16:7
2 8 15 16:7
2 4 5 9:7
1 2 5 9:7
3 5 9 14:7
3 5 6 9:9
2 5 9 15:7
2 3 5 10:7
2 5 7 9:8
1 3 5 10:6
1 5 14 15:6
1 5 7 14:8
1 3 6 10:7
1 5 6 15:8
1 5 6 7:10
1 2 5 11:6
1 2 5 14:7
1 4 5 9:7
3 4 5 12:8
4 5 9 15:6
4 5 7 9:8
3 5 9 16:7
3 5 8 9:8
1 3 8 12:7
1 4 5 11:6
1 5 15 16:6
1 4 5 16:7
1 5 8 15:8
1 5 7 16:8
1 5 7 8:9
1 3 5 12:6
2 4 7 11:7
3 4 8 10:6
4 8 14 15:6
4 7 8 14:8
3 4 8 15:7
3 8 12 14:6
4 6 8 15:8
4 6 7 8:9
3 6 8 12:8
2 4 8 11:6
2 8 12 15:7
2 7 8 12:8
3 4 8 12:7
2 3 7 12:6
2 3 8 11:8
3 5 10 14:7
2 5 14 15:7
2 5 7 14:9
4 5 9 14:6
1 4 5 10:6
1 5 14 16:6
1 5 8 14:8
4 5 10 15:6
3 4 5 11:8
4 5 7 10:8
3 5 10 16:6
3 5 8 10:8
3 5 14 15:7
4 5 11 14:6
4 5 13 14:7
5 14 15 16:6
4 5 15 16:7
5 8 14 15:8
3 5 7 14:8
4 6 8 14:7
5 7 14 16:8
4 5 7 15:9
5 7 8 14:9
2 5 14 16:7
4 5 14 16:7
3 5 13 15:6
3 5 12 14:6
4 5 11 15:7
3 5 15 16:7
3 5 8 15:9
2 5 8 14:8
4 5 8 14:8
3 7 8 14:8
3 5 6 14:8
2 3 6 10:7
3 4 7 10:6
4 6 10 15:7
3 4 6 11:7
4 6 7 10:9
3 6 10 16:7
3 6 8 10:8
2 4 6 11:6
2 6 15 16:6
2 6 8 15:8
2 6 7 16:8
2 6 7 8:10
2 3 6 15:7
2 3 6 12:6
1 2 5 6:8
2 3 6 7:8
3 5 6 10:8
2 5 6 15:8
2 5 6 7:10
4 5 6 9:8
1 4 5 8:8
1 5 6 16:8
1 5 6 8:10
3 4 7 8:8
4 5 8 15:8
4 5 7 8:10
3 5 8 12:8
4 6 7 11:8
3 6 7 16:8
3 6 7 8:10
3 5 6 15:8
4 6 7 15:8
4 5 6 11:8
4 5 6 14:8
5 6 15 16:8
4 5 6 16:9
5 6 8 15:9
3 5 6 7:9
4 5 6 8:10
5 6 7 16:9
5 6 7 8:10
2 5 6 16:8
3 5 8 16:9
3 5 6 12:8
2 5 6 8:9
3 5 7 8:10
3 5 9 15:6
1 5 11 15:5
1 3 5 11:6
2 4 5 10:7
2 4 5 12:7
2 5 11 16:6
2 5 8 11:8
4 5 10 14:6
2 5 12 15:6
2 5 13 16:7
2 5 12 16:7
2 7 8 15:9
2 5 8 16:8
3 5 7 9:7
1 5 7 11:7
4 6 8 10:7
2 6 8 12:7
3 5 7 16:8
2 6 8 16:7
2 5 7 15:8
2 5 7 12:8
2 5 9 16:7
1 2 5 12:6
4 5 7 16:9
3 5 12 16:7
2 5 11 15:6
2 3 5 11:7
2 5 8 9:8
2 7 8 11:8
4 10 13 14:5
1 2 10 14:6
1 10 14 16:5
1 8 10 14:6
1 2 12 14:5
1 2 10 16:6
1 2 8 10:7
1 2 10 15:6
1 4 10 11:4
1 10 15 16:4
1 4 10 16:5
1 8 10 15:6
1 3 11 16:6
1 3 8 11:7
1 2 7 10:8
1 4 8 10:6
1 7 10 16:6
1 7 8 10:8
2 4 10 16:5
1 3 10 15:5
1 3 10 12:4
2 4 8 10:6
1 3 7 10:6
1 10 14 15:5
1 2 11 14:5
1 4 12 14:6
1 11 14 16:4
1 8 11 14:6
1 12 14 15:4
1 4 11 16:5
1 12 15 16:5
1 7 14 15:7
1 8 15 16:7
4 7 11 14:7
3 7 14 16:6
3 4 7 15:7
1 2 6 14:7
1 7 10 14:7
1 6 14 16:7
1 6 8 14:8
1 8 12 14:7
1 8 14 16:7
1 7 13 15:6
1 7 12 14:6
1 7 15 16:7
1 7 8 15:8
1 6 7 14:9
2 4 12 14:5
1 3 11 14:6
1 3 12 15:5
4 11 13 15:5
3 4 11 15:6
1 4 12 15:6
1 11 15 16:5
1 8 11 15:7
1 3 7 15:7
4 8 10 14:5
2 8 12 14:6
1 7 11 14:7
4 5 6 10:8
1 2 6 10:7
1 6 10 16:6
1 6 8 10:8
1 2 6 12:6
4 5 7 11:8
3 4 7 11:7
1 4 8 11:6
1 4 7 12:7
1 7 11 16:7
1 7 8 11:9
1 3 7 12:6
4 6 11 15:7
3 6 8 15:9
1 6 10 15:6
1 2 6 11:6
1 4 6 12:8
1 6 11 16:6
1 6 8 11:8
1 6 14 15:7
1 6 12 15:6
1 6 12 16:7
1 5 7 15:7
1 6 8 16:9
1 6 7 10:8
1 7 8 12:8
1 7 8 16:8
1 6 7 15:8
1 6 7 12:8
4 6 10 16:6
2 6 12 16:5
1 6 11 15:6
2 4 6 12:6
1 3 6 11:7
2 11 13 15:5
1 11 14 15:5
2 3 11 15:6
1 2 11 12:4
2 12 13 16:5
1 12 14 16:5
1 4 12 16:6
1 4 8 16:7
1 8 12 15:7
2 3 7 15:7
2 8 11 15:7
2 5 7 11:8
1 6 7 11:8
2 3 7 11:7
2 5 8 12:9
1 6 8 12:8
1 4 8 12:7
1 7 12 16:7
2 7 11 16:6
1 3 9 13:6
2 5 9 13:7
1 9 13 14:5
1 6 9 13:7
1 2 10 13:6
1 2 9 14:6
2 9 13 14:5
3 9 10 13:4
9 13 14 15:4
7 9 13 14:6
3 9 14 15:4
2 6 9 13:6
3 5 9 13:7
6 9 13 15:6
6 7 9 13:8
3 6 9 14:6
1 9 13 15:5
2 9 11 13:4
2 10 13 15:5
2 9 14 16:4
2 3 9 10:5
2 7 10 13:7
1 7 9 13:7
2 7 9 14:6
3 9 10 14:4
2 9 14 15:4
1 10 13 15:4
1 7 10 13:6
1 11 13 14:4
1 6 13 14:7
1 3 5 9:7
1 5 13 15:6
1 5 7 13:8
1 6 11 13:6
1 5 6 13:8
1 6 10 13:7
2 4 10 14:6
1 3 9 10:5
1 9 14 15:5
1 7 9 14:7
1 6 9 15:7
1 6 7 9:8
1 2 9 11:5
1 2 6 9:7
1 4 9 11:5
1 9 15 16:5
1 4 9 16:6
1 8 9 15:6
1 4 8 9:7
1 7 9 16:7
1 7 8 9:8
1 3 9 12:5
1 4 9 10:5
1 9 14 16:5
1 8 9 14:6
3 4 9 12:5
4 9 10 15:3
3 4 10 11:5
4 7 9 10:5
3 9 10 16:3
3 8 9 10:5
3 4 10 12:5
4 12 14 15:5
4 7 12 14:6
3 4 12 15:6
4 9 11 14:3
9 14 15 16:3
4 9 15 16:4
8 9 14 15:5
3 7 9 14:5
4 6 9 14:6
4 8 9 14:5
7 9 14 16:5
4 7 9 15:6
7 8 9 14:7
4 9 14 16:4
3 9 12 14:3
4 9 11 15:4
3 9 15 16:4
3 8 9 15:6
2 8 9 14:6
3 6 9 10:6
2 6 9 15:5
2 6 7 9:7
1 6 9 16:7
1 6 8 9:8
3 4 7 12:7
4 7 9 11:6
3 7 9 16:5
3 7 8 9:7
4 6 12 15:7
4 6 7 12:8
3 6 9 15:6
4 6 9 11:5
6 9 15 16:5
4 6 9 16:6
6 8 9 15:7
3 6 7 9:7
4 7 8 9:7
6 7 9 16:7
6 7 8 9:9
2 6 9 16:5
3 6 9 12:5
2 6 8 9:7
4 6 8 9:7
2 4 11 12:5
2 4 12 16:6
2 4 8 12:7
1 9 11 15:4
1 3 9 11:5
2 4 10 12:5
2 9 11 16:3
2 8 9 11:5
2 4 10 11:5
2 10 15 16:5
2 8 10 15:7
4 9 10 14:4
2 9 12 15:3
2 9 12 16:4
2 7 9 15:6
2 8 9 16:6
2 4 6 10:7
2 7 10 16:7
2 7 8 10:8
2 3 10 15:6
2 3 10 12:5
2 3 7 10:7
1 7 9 11:6
4 6 9 10:6
2 8 9 12:6
2 7 9 12:5
1 2 9 12:5
4 7 9 16:6
3 9 12 16:4
2 9 11 15:4
2 3 11 12:5
4 8 9 15:5
3 8 9 12:5
2 7 9 11:6
4 5 9 13:7
1 4 12 13:6
1 9 13 16:5
1 8 9 13:7
4 12 13 15:5
4 7 12 13:6
4 9 11 13:4
9 13 15 16:4
8 9 13 15:6
4 8 9 13:6
7 9 13 16:6
7 8 9 13:7
4 9 13 16:5
3 9 12 13:4
3 8 9 16:6
1 11 13 16:4
1 8 11 13:6
1 12 13 15:4
1 8 12 13:7
1 8 13 16:7
1 7 12 13:6
1 5 8 13:8
1 10 13 14:5
2 10 13 14:5
10 13 14 15:4
3 11 13 14:5
7 10 13 14:6
3 10 14 15:5
2 11 13 14:4
2 6 13 14:6
2 7 14 15:7
2 11 14 15:5
4 9 10 13:4
4 12 13 14:5
9 13 14 16:4
8 9 13 14:6
1 10 13 16:4
1 8 10 13:6
1 12 13 16:5
1 12 13 14:4
1 5 13 14:6
3 10 13 15:4
4 10 11 13:3
10 13 15 16:3
8 10 13 15:5
3 4 9 11:5
3 4 11 16:6
3 11 13 16:5
3 8 11 13:7
3 7 10 13:5
4 8 10 13:5
4 7 10 16:6
7 10 13 16:5
7 8 10 13:7
4 10 15 16:4
3 10 12 16:4
2 10 13 16:5
4 10 13 16:4
3 10 15 16:4
3 10 12 13:3
2 8 10 13:7
3 5 10 13:6
3 8 10 16:6
11 13 14 15:4
4 11 13 16:4
11 13 14 16:3
8 11 13 14:5
12 13 14 16:4
12 13 14 15:3
4 11 14 16:4
12 14 15 16:4
7 13 14 15:6
5 13 14 15:6
8 13 14 16:6
8 14 15 16:6
7 11 13 14:6
3 7 14 15:6
6 13 14 16:6
6 8 13 14:8
4 8 13 16:6
8 12 13 14:6
4 7 15 16:7
7 12 13 16:6
7 13 15 16:6
7 12 13 14:5
4 7 10 15:6
7 14 15 16:6
7 8 14 15:8
6 7 13 14:8
5 8 13 14:7
7 8 13 16:7
12 13 15 16:4
4 11 15 16:5
3 12 15 16:5
4 12 13 16:5
10 13 14 16:4
2 12 13 14:4
11 13 15 16:4
3 12 13 15:4
3 12 14 15:4
4 10 11 15:4
3 8 10 15:6
3 11 14 15:5
11 14 15 16:4
8 11 14 15:6
3 8 15 16:7
8 10 13 14:6
2 5 13 14:7
5 7 13 14:8
8 13 15 16:6
2 6 10 13:6
6 10 13 15:6
3 6 11 13:6
6 7 10 13:8
3 6 10 14:7
2 6 11 13:5
2 6 14 16:6
2 5 6 13:8
2 6 7 14:8
2 6 14 15:6
4 6 12 13:7
6 9 13 16:6
6 8 9 13:8
1 5 13 16:6
1 6 12 13:6
4 5 11 13:6
5 13 15 16:6
5 8 13 15:7
5 7 13 16:8
5 7 8 13:9
4 5 13 16:7
3 5 12 13:6
4 5 8 13:8
3 7 11 13:6
4 8 11 13:5
4 7 11 16:7
7 11 13 16:6
7 8 11 13:8
3 7 12 16:6
3 7 15 16:6
3 7 12 13:5
3 7 8 16:8
3 7 13 15:6
6 11 13 15:6
7 8 13 15:8
4 6 11 16:6
6 11 13 16:5
4 6 11 14:6
6 8 11 13:7
6 12 14 16:5
6 14 15 16:6
6 12 13 15:5
5 7 13 15:7
6 8 14 16:7
6 7 11 13:7
3 6 7 14:8
4 5 10 13:6
5 6 13 16:8
5 6 8 13:9
4 7 8 16:8
7 8 12 13:7
6 7 12 16:7
6 7 15 16:7
6 7 12 13:7
6 7 14 16:8
6 7 8 14:9
5 6 7 13:9
6 7 8 16:9
6 12 15 16:6
4 6 12 16:7
3 6 11 16:6
3 6 12 15:6
6 10 13 16:6
2 6 12 13:5
6 12 13 16:6
6 11 15 16:6
3 6 14 15:7
3 6 12 14:6
6 13 14 15:6
6 8 14 15:8
2 6 8 14:8
6 8 10 13:8
4 6 8 16:8
6 8 12 13:8
5 7 11 13:7
6 8 15 16:8
9 11 13 15:3
3 9 11 13:4
2 4 9 10:5
2 4 9 12:5
2 11 12 16:4
2 11 12 13:3
4 10 11 14:4
2 11 14 16:4
2 8 11 14:6
2 5 11 13:6
2 8 11 16:6
10 12 14 16:3
10 14 15 16:4
2 12 14 15:4
8 11 13 15:6
6 7 13 15:7
5 6 13 15:8
8 10 14 16:5
7 9 11 13:5
4 6 10 14:7
4 8 14 16:6
2 5 12 13:6
2 8 12 16:7
7 12 14 16:6
2 7 12 15:6
6 8 13 16:8
2 7 12 14:6
3 7 10 14:6
7 10 14 16:6
7 8 10 14:8
7 8 14 16:7
4 12 14 16:5
3 11 14 16:5
1 3 11 15:6
4 12 15 16:5
4 7 12 16:7
3 8 12 16:7
2 11 12 15:4
2 9 12 13:4
3 11 15 16:5
2 3 9 11:5
2 3 11 14:6
3 10 12 14:4
2 10 14 15:5
2 7 10 14:7
8 10 14 15:6
3 8 11 14:7
2 10 14 16:5
2 8 10 14:7
2 7 11 14:7
8 12 13 15:6
4 8 15 16:6
4 8 12 13:6
1 5 9 14:6
1 5 6 9:8
1 2 5 10:7
2 5 9 14:7
3 5 9 10:6
5 9 14 15:6
5 7 9 14:8
2 5 6 9:8
5 6 9 15:8
5 6 7 9:9
1 5 9 15:6
2 5 9 11:6
2 5 10 15:6
2 5 7 10:8
1 5 7 9:8
1 5 10 15:5
1 5 7 10:7
1 5 11 14:5
1 5 6 11:7
1 5 6 14:8
1 5 10 14:6
1 4 5 12:7
1 5 9 16:6
1 5 8 9:8
4 5 12 15:7
4 5 7 12:8
4 5 9 11:6
5 9 15 16:6
4 5 9 16:7
5 8 9 15:7
5 7 9 16:8
5 7 8 9:9
3 5 9 12:6
4 5 8 9:8
1 5 11 16:5
1 5 8 11:7
1 5 12 15:5
1 5 12 16:6
1 5 8 16:8
1 5 7 12:7
1 3 7 11:7
4 8 10 15:5
3 4 8 11:7
4 7 8 10:7
3 8 10 12:6
4 8 11 14:5
8 12 14 15:6
4 7 8 15:8
7 8 12 14:7
4 8 11 15:6
3 8 12 15:7
4 8 12 14:6
3 7 12 14:5
4 6 8 11:7
6 8 12 15:8
6 7 8 12:9
4 6 8 12:8
3 5 7 12:7
3 6 8 11:8
2 8 11 12:6
3 7 8 12:8
2 6 7 12:7
4 8 12 15:6
4 7 8 12:8
3 6 7 12:7
2 7 11 12:5
2 5 10 14:7
5 10 14 15:6
3 5 11 14:7
5 7 10 14:8
3 5 10 15:6
2 5 11 14:6
4 5 9 10:5
4 5 12 14:7
5 9 14 16:6
5 8 9 14:7
1 5 10 16:5
1 5 8 10:7
1 5 12 14:5
4 5 10 11:5
5 10 15 16:5
4 5 10 16:6
5 8 10 15:7
3 5 11 16:7
3 5 8 11:8
3 5 7 10:7
5 7 10 16:7
5 7 8 10:9
2 5 10 16:6
3 5 10 12:5
2 5 8 10:8
4 5 8 10:7
3 7 8 10:7
5 11 14 15:6
5 11 14 16:5
5 8 11 14:7
5 13 14 16:6
5 12 14 15:5
4 5 11 16:6
5 12 15 16:6
5 6 14 15:7
5 8 15 16:8
5 7 11 14:8
3 5 7 15:8
6 8 12 14:7
5 7 12 14:7
5 7 15 16:8
5 7 8 15:9
5 6 8 14:9
5 10 14 16:6
2 5 12 14:6
5 12 14 16:6
5 11 13 15:5
3 5 12 15:6
3 5 11 15:7
5 11 15 16:6
5 8 11 15:8
3 7 8 15:8
5 8 10 14:7
2 5 6 14:8
5 8 12 14:8
7 8 11 14:8
5 6 7 14:9
2 6 10 15:6
2 3 6 11:7
2 6 7 10:8
4 7 10 11:6
3 7 10 16:5
3 6 10 15:7
4 6 10 11:6
6 10 15 16:6
6 8 10 15:8
3 6 7 10:8
6 7 10 16:8
6 7 8 10:9
2 6 10 16:6
3 6 10 12:6
2 6 8 10:8
2 6 11 16:5
2 6 8 11:7
2 6 12 15:5
2 6 7 15:8
2 6 11 15:6
1 5 6 10:8
2 6 7 11:8
2 5 6 10:8
5 6 10 15:7
3 5 6 11:8
5 6 7 10:9
2 5 6 11:7
4 5 6 12:8
5 6 9 16:8
5 6 8 9:9
1 5 8 12:8
1 5 6 12:7
4 7 8 11:8
4 5 8 11:7
4 5 8 16:8
5 8 12 15:8
5 7 8 12:9
4 5 8 12:8
3 6 7 11:8
6 7 11 16:7
6 7 8 11:9
3 6 7 15:8
5 6 11 15:7
6 7 8 15:9
5 6 11 16:7
5 6 8 11:9
5 6 14 16:7
5 6 12 15:7
5 6 12 16:8
5 6 7 15:9
5 6 8 16:9
5 6 7 11:9
5 6 8 12:9
5 6 7 12:9
5 6 10 16:7
2 5 6 12:7
5 7 8 16:9
5 6 8 10:9
5 7 8 11:9
5 9 11 15:5
3 5 9 11:6
2 5 11 12:5
5 8 14 16:8
5 7 9 11:7
6 8 10 12:7
5 7 11 16:8
6 8 10 16:7
5 7 14 15:8
2 5 9 12:6
5 7 12 16:8
4 5 12 16:7
3 7 8 11:8
1 6 10 14:7
1 10 12 14:4
1 2 10 12:5
1 2 10 11:5
1 4 11 12:5
1 10 11 16:3
1 8 10 11:5
1 10 12 15:3
1 10 12 16:4
1 7 10 15:6
1 8 10 16:6
1 3 11 12:5
1 8 10 12:6
1 7 10 12:5
2 10 12 16:4
1 10 11 15:4
2 8 10 12:6
1 7 10 11:6
1 10 11 14:4
1 4 10 12:5
1 11 12 14:3
1 11 12 16:4
1 8 11 16:6
3 7 11 14:6
7 11 14 16:6
4 7 11 15:7
1 6 12 14:6
7 9 13 15:5
1 7 12 15:6
1 6 11 14:6
4 10 12 14:4
1 3 10 11:5
1 11 12 15:4
3 11 13 15:5
3 8 11 15:7
1 7 11 15:7
8 10 12 14:5
1 6 10 12:6
3 5 7 11:8
3 7 11 16:6
1 8 11 12:6
1 7 11 12:6
3 6 11 15:7
6 8 11 15:8
1 6 10 11:5
1 6 11 12:5
5 7 9 15:7
6 10 12 16:5
4 6 10 12:6
2 7 11 15:7
1 8 12 16:7
1 5 9 13:6
5 9 13 14:6
5 6 9 13:8
2 5 10 13:7
1 9 10 13:5
1 6 9 14:7
2 9 10 13:5
1 9 10 14:5
9 10 13 14:4
9 10 13 15:3
3 10 11 13:4
7 9 10 13:5
9 11 13 14:3
6 9 13 14:6
7 9 14 15:5
3 9 10 15:3
9 11 14 15:3
6 9 10 13:6
2 6 9 14:5
5 9 13 15:6
5 7 9 13:8
6 9 11 13:5
6 9 14 16:5
6 7 9 14:7
